 Frame Exposure Time (us), Dimensions (px), Total Exposure Time (ms), Number of Frames, FPS 
 100000, 1000, 20099, 200, 9.950744 
 50000, 1000, 10099, 200, 19.803941 
 30000, 1000, 6099, 200, 32.792261 
 20000, 1000, 4100, 200, 48.780488 
 15000, 1000, 3101, 200, 64.495324 
 10000, 1000, 3075, 200, 65.040650 
 8000, 1000, 3065, 200, 65.252855 
 7000, 1000, 3072, 200, 65.104167 
 6000, 1000, 3071, 200, 65.125366 
 5000, 1000, 3071, 200, 65.125366 
 4000, 1000, 3063, 200, 65.295462 
 2000, 1000, 3068, 200, 65.189048 
 1500, 1000, 3067, 200, 65.210303 
 1000, 1000, 3059, 200, 65.380843 
 500, 1000, 3066, 200, 65.231572 
 100000, 900, 20097, 200, 9.951734 
 50000, 900, 10098, 200, 19.805902 
 30000, 900, 6098, 200, 32.797639 
 20000, 900, 4101, 200, 48.768593 
 15000, 900, 3096, 200, 64.599483 
 10000, 900, 2776, 200, 72.046110 
 8000, 900, 2774, 200, 72.098053 
 7000, 900, 2772, 200, 72.150072 
 6000, 900, 2771, 200, 72.176110 
 5000, 900, 2770, 200, 72.202166 
 4000, 900, 2770, 200, 72.202166 
 2000, 900, 2767, 200, 72.280448 
 1500, 900, 2766, 200, 72.306580 
 1000, 900, 2766, 200, 72.306580 
 500, 900, 2766, 200, 72.306580 
 100000, 800, 20096, 200, 9.952229 
 50000, 800, 10096, 200, 19.809826 
 30000, 800, 6096, 200, 32.808399 
 20000, 800, 4097, 200, 48.816207 
 15000, 800, 3093, 200, 64.662140 
 10000, 800, 2479, 200, 80.677693 
 8000, 800, 2478, 200, 80.710250 
 7000, 800, 2476, 200, 80.775444 
 6000, 800, 2476, 200, 80.775444 
 5000, 800, 2475, 200, 80.808081 
 4000, 800, 2473, 200, 80.873433 
 2000, 800, 2472, 200, 80.906149 
 1500, 800, 2472, 200, 80.906149 
 1000, 800, 2471, 200, 80.938891 
 500, 800, 2470, 200, 80.971660 
 100000, 700, 20094, 200, 9.953220 
 50000, 700, 10095, 200, 19.811788 
 30000, 700, 6095, 200, 32.813782 
 20000, 700, 4095, 200, 48.840049 
 15000, 700, 3091, 200, 64.703979 
 10000, 700, 2185, 200, 91.533181 
 8000, 700, 2183, 200, 91.617041 
 7000, 700, 2182, 200, 91.659028 
 6000, 700, 2182, 200, 91.659028 
 5000, 700, 2180, 200, 91.743119 
 4000, 700, 2179, 200, 91.785223 
 2000, 700, 2177, 200, 91.869545 
 1500, 700, 2176, 200, 91.911765 
 1000, 700, 2175, 200, 91.954023 
 500, 700, 2176, 200, 91.911765 
 100000, 600, 20093, 200, 9.953715 
 50000, 600, 10093, 200, 19.815714 
 30000, 600, 6093, 200, 32.824553 
 20000, 600, 4093, 200, 48.863914 
 15000, 600, 3090, 200, 64.724919 
 10000, 600, 2093, 200, 95.556617 
 8000, 600, 1880, 200, 106.382979 
 7000, 600, 1879, 200, 106.439596 
 6000, 600, 1878, 200, 106.496273 
 5000, 600, 1877, 200, 106.553010 
 4000, 600, 1876, 200, 106.609808 
 2000, 600, 1874, 200, 106.723586 
 1500, 600, 1874, 200, 106.723586 
 1000, 600, 1873, 200, 106.780566 
 500, 600, 1873, 200, 106.780566 
 100000, 500, 20091, 200, 9.954706 
 50000, 500, 10092, 200, 19.817677 
 30000, 500, 6092, 200, 32.829941 
 20000, 500, 4092, 200, 48.875855 
 15000, 500, 3088, 200, 64.766839 
 10000, 500, 2084, 200, 95.969290 
 8000, 500, 1688, 200, 118.483412 
 7000, 500, 1586, 200, 126.103405 
 6000, 500, 1585, 200, 126.182965 
 5000, 500, 1584, 200, 126.262626 
 4000, 500, 1583, 200, 126.342388 
 2000, 500, 1581, 200, 126.502214 
 1500, 500, 1580, 200, 126.582278 
 1000, 500, 1580, 200, 126.582278 
 500, 500, 1580, 200, 126.582278 
 100000, 400, 20090, 200, 9.955202 
 50000, 400, 10090, 200, 19.821606 
 30000, 400, 6090, 200, 32.840722 
 20000, 400, 4090, 200, 48.899756 
 15000, 400, 3086, 200, 64.808814 
 10000, 400, 2085, 200, 95.923261 
 8000, 400, 1690, 200, 118.343195 
 7000, 400, 1487, 200, 134.498991 
 6000, 400, 1284, 200, 155.763240 
 5000, 400, 1283, 200, 155.884645 
 4000, 400, 1281, 200, 156.128025 
 2000, 400, 1280, 200, 156.250000 
 1500, 400, 1279, 200, 156.372166 
 1000, 400, 1279, 200, 156.372166 
 500, 400, 1278, 200, 156.494523 
 100000, 300, 20088, 200, 9.956193 
 50000, 300, 10089, 200, 19.823570 
 30000, 300, 6089, 200, 32.846116 
 20000, 300, 4089, 200, 48.911714 
 15000, 300, 3085, 200, 64.829822 
 10000, 300, 2080, 200, 96.153846 
 8000, 300, 1683, 200, 118.835413 
 7000, 300, 1491, 200, 134.138162 
 6000, 300, 1287, 200, 155.400155 
 5000, 300, 1085, 200, 184.331797 
 4000, 300, 1013, 200, 197.433366 
 2000, 300, 1011, 200, 197.823937 
 1500, 300, 1010, 200, 198.019802 
 1000, 300, 1010, 200, 198.019802 
 500, 300, 1010, 200, 198.019802 
 100000, 200, 20087, 200, 9.956688 
 50000, 200, 10087, 200, 19.827501 
 30000, 200, 6088, 200, 32.851511 
 20000, 200, 4078, 200, 49.043649 
 15000, 200, 3089, 200, 64.745872 
 10000, 200, 2080, 200, 96.153846 
 8000, 200, 1684, 200, 118.764846 
 7000, 200, 1480, 200, 135.135135 
 6000, 200, 1281, 200, 156.128025 
 5000, 200, 1081, 200, 185.013876 
 4000, 200, 1012, 200, 197.628458 
 2000, 200, 1009, 200, 198.216056 
 1500, 200, 1010, 200, 198.019802 
 1000, 200, 1008, 200, 198.412698 
 500, 200, 1010, 200, 198.019802 
 100000, 100, 20076, 200, 9.962144 
 50000, 100, 10076, 200, 19.849146 
 30000, 100, 6086, 200, 32.862307 
